,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,test_set
0,0.6931157112121582,0.5137111517367459,1.3045,838.606,26.829,std-dia
1,0.6931063532829285,0.5283363802559415,1.3492,810.856,25.941,aus
2,0.693114697933197,0.5182815356489945,1.2278,891.039,28.507,nig
3,0.6931198835372925,0.5146252285191956,1.3291,823.132,26.334,wel
4,0.6931115388870239,0.520109689213894,1.4208,769.962,24.633,col
5,0.6931384205818176,0.5127970749542962,1.255,871.727,27.889,hon
