,eval_loss,eval_acc,eval_runtime,eval_samples_per_second,eval_steps_per_second,test_set
0,0.6931113004684448,0.526508226691042,1.2839,852.109,27.261,std-dia
1,0.6931143403053284,0.5237659963436929,1.3326,820.961,26.265,aus
2,0.6931058764457703,0.5246800731261426,1.2102,904.009,28.922,nig
3,0.6931054592132568,0.520109689213894,1.3109,834.572,26.7,wel
4,0.6931095123291016,0.5347349177330896,1.3865,789.044,25.244,col
5,0.6931489109992981,0.48171846435100546,1.2727,859.581,27.5,hon
